proposed_group_id,bcode,descr,evidence,confidence,hq_qtymin,hq_qtyoh2,syp_qtyoh2,notes
G001,01050076,น็อตหัวเพลา,REMARKS on 01050082: ใช้รหัส 01050076 แทน; REMARKS on 09050639: ใช้รหัส 01050076 แทน; REMARKS on 09050964: ใช้รหัส 01050076 แทน,med,5,28,6,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G001,01050082,น็อตหัวเพลา,REMARKS on 01050082: ใช้รหัส 01050076 แทน; REMARKS on 09050639: ใช้รหัส 01050076 แทน; REMARKS on 09050964: ใช้รหัส 01050076 แทน,med,-1,3,0,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G001,09050639,สกรูหัวเพลา HINO,REMARKS on 01050082: ใช้รหัส 01050076 แทน; REMARKS on 09050639: ใช้รหัส 01050076 แทน; REMARKS on 09050964: ใช้รหัส 01050076 แทน,med,-1,2,0,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G001,09050964,สกรูหัวเพลา HINO,REMARKS on 01050082: ใช้รหัส 01050076 แทน; REMARKS on 09050639: ใช้รหัส 01050076 แทน; REMARKS on 09050964: ใช้รหัส 01050076 แทน,med,-1,7,0,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G002,12052220,เก้าอี้เท้าแขน ดำ,REMARKS on 12053041: 12053041=12052220  2300.- 10แถม1ของหมด13/8/69ใช้รหัส12052220แทน; REMARKS on 12052220: 12053041=1 ใช้ TK104 แทนได้ 12053301; REMARKS on 12052719: ใช้ 12053301 แทนได้ เหมือนกันเลย,med,3,10,0,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G002,12052719,เก้าอี้เท้าแขน เหลือง,REMARKS on 12053041: 12053041=12052220  2300.- 10แถม1ของหมด13/8/69ใช้รหัส12052220แทน; REMARKS on 12052220: 12053041=1 ใช้ TK104 แทนได้ 12053301; REMARKS on 12052719: ใช้ 12053301 แทนได้ เหมือนกันเลย,med,-1,1,0,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G002,12053041,เก้าอี้เท้าแขน ดำ,REMARKS on 12053041: 12053041=12052220  2300.- 10แถม1ของหมด13/8/69ใช้รหัส12052220แทน; REMARKS on 12052220: 12053041=1 ใช้ TK104 แทนได้ 12053301; REMARKS on 12052719: ใช้ 12053301 แทนได้ เหมือนกันเลย,med,-1,2,1,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G002,12053301,เก้าอี้เท้าแขน ดำ จอนเดียร์,REMARKS on 12053041: 12053041=12052220  2300.- 10แถม1ของหมด13/8/69ใช้รหัส12052220แทน; REMARKS on 12052220: 12053041=1 ใช้ TK104 แทนได้ 12053301; REMARKS on 12052719: ใช้ 12053301 แทนได้ เหมือนกันเลย,med,-1,0,0,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G005,08055531,ลูกรอก+ตัวดัน สพ.ไดชาร์ท,REMARKS on 08056897: ใช้รหัส08055531แทน; REMARKS on 08056245: ใช้รหัส08056897แทน,high,0,1,0,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G005,08056245,ลูกรอก+ตัวดัน สพ.ไดชาร์ท,REMARKS on 08056897: ใช้รหัส08055531แทน; REMARKS on 08056245: ใช้รหัส08056897แทน,high,-1,0,0,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G005,08056897,ลูกรอก+ตัวดัน สพ.ไดชาร์ท,REMARKS on 08056897: ใช้รหัส08055531แทน; REMARKS on 08056245: ใช้รหัส08056897แทน,high,-1,0,1,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G006,13051912,โอโตเมติกสตาร์ท,"REMARKS on 13051912: -ใช้แทน D-Max ได้ ใช้หัวเก่า 13052397,12052169; REMARKS on 13052397: -ใช้แทน D-Max ได้ ใช้หัวเก่า ใช้13052169",high,-1,0,0,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G006,13052169,โอโตเมติกสตาร์ท,"REMARKS on 13051912: -ใช้แทน D-Max ได้ ใช้หัวเก่า 13052397,12052169; REMARKS on 13052397: -ใช้แทน D-Max ได้ ใช้หัวเก่า ใช้13052169",high,1,2,2,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G006,13052397,โอโตเมติกสตาร์ท,"REMARKS on 13051912: -ใช้แทน D-Max ได้ ใช้หัวเก่า 13052397,12052169; REMARKS on 13052397: -ใช้แทน D-Max ได้ ใช้หัวเก่า ใช้13052169",high,0,1,0,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G007,15014890,ลูกปืน,REMARKS on 15014892: ใช้รหัสแทน 15014890; REMARKS on 15014891: VP ขาย 93.-6/62 ใช้แทน15014892/7PK 110.01.-,high,-1,0,0,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G007,15014891,ลูกปืน,REMARKS on 15014892: ใช้รหัสแทน 15014890; REMARKS on 15014891: VP ขาย 93.-6/62 ใช้แทน15014892/7PK 110.01.-,high,4,12,8,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G007,15014892,ลูกปืน ปลายเกียร์ M7040,REMARKS on 15014892: ใช้รหัสแทน 15014890; REMARKS on 15014891: VP ขาย 93.-6/62 ใช้แทน15014892/7PK 110.01.-,high,-1,0,0,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G008,30010291,"คอนโทรลวาวล์ ก.3/4""",REMARKS on 30010291: ขต.33010545+33010612/ของขาดยาวใช้ 30010444แทน; REMARKS on 30010526: ขต.33010545+33010612/ของขาดยาวใช้ 30010444แทน,high,-1,0,0,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G008,30010444,"คอนโทรลวาวล์ ก.3/4""",REMARKS on 30010291: ขต.33010545+33010612/ของขาดยาวใช้ 30010444แทน; REMARKS on 30010526: ขต.33010545+33010612/ของขาดยาวใช้ 30010444แทน,high,1,2,0,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G008,30010526,"คอนโทรลวาวล์ ก.3/4"" 16NF",REMARKS on 30010291: ขต.33010545+33010612/ของขาดยาวใช้ 30010444แทน; REMARKS on 30010526: ขต.33010545+33010612/ของขาดยาวใช้ 30010444แทน,high,1,3,1,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G009,30010351,ชุดแปลงเก้าอี้+ยาง+สกรู,REMARKS on 30010351: ใช้ 30010476 แทน; REMARKS on 30010352: ใช้ 30010476 แทน,high,-1,0,0,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G009,30010352,ชุดแปลงเก้าอี้+ยาง+สกรู,REMARKS on 30010351: ใช้ 30010476 แทน; REMARKS on 30010352: ใช้ 30010476 แทน,high,-1,2,0,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G009,30010476,ชุดแปลงเก้าอี้,REMARKS on 30010351: ใช้ 30010476 แทน; REMARKS on 30010352: ใช้ 30010476 แทน,high,2,3,1,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G010,30050484,ซีลล้อหน้าคูโบต้า,REMARKS on 30050484: CRRK 80.- ใช้รหัสแทน 30052567; REMARKS on 30051577: 33740-80290 ศูนย์ 590.-ใช้รหัส30052567แทนได้,high,-1,0,0,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G010,30051577,ซีลตูด PTO คูโบต้า,REMARKS on 30050484: CRRK 80.- ใช้รหัสแทน 30052567; REMARKS on 30051577: 33740-80290 ศูนย์ 590.-ใช้รหัส30052567แทนได้,high,1,2,1,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G010,30052567,ซีลล้อหน้าคูโบต้า,REMARKS on 30050484: CRRK 80.- ใช้รหัสแทน 30052567; REMARKS on 30051577: 33740-80290 ศูนย์ 590.-ใช้รหัส30052567แทนได้,high,4,0,1,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G011,30051193,"สายไมล์ เกลียวรู 11,12 มิล",REMARKS on 30051196: ใช้รหัส 30051193 แทน; REMARKS on 30051611: ใช้รหัส 30051193 แทนค่ะ,high,1,2,0,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
G011,30051196,"สายไมล์  เกลียวรู 11มิล,12มิล",REMARKS on 30051196: ใช้รหัส 30051193 แทน; REMARKS on 30051611: ใช้รหัส 30051193 แทนค่ะ,high,-1,1,1,From ICMAS.REMARKS strong peer phrasing (HQ mirror).
